Symbol,ETF Name,Asset Class
TQQQ,ProShares UltraPro QQQ,Equity
SOXL,Direxion Daily Semiconductor Bull 3x Shares,Equity
QLD,ProShares Ultra QQQ,Equity
TMF,Direxion Daily 20+ Year Treasury Bull 3X Shares,Bond
SSO,ProShares Ultra S&P 500,Equity
SPXL,Direxion Daily S&P 500 Bull 3X Shares,Equity
UPRO,ProShares UltraPro S&P500,Equity
TECL,Direxion Daily Technology Bull 3X Shares,Equity
FNGU,MicroSectors FANG+™ Index 3X Leveraged ETN,Equity
TNA,Direxion Daily Small Cap Bull 3X Shares,Equity
FAS,Direxion Daily Financial Bull 3X Shares,Equity
LABU,Direxion Daily S&P Biotech Bull 3x Shares,Equity
TSLL,Direxion Daily TSLA Bull 1.5X Shares ETF,Equity
DPST,Direxion Daily Regional Banks Bull 3X Shares,Equity
BULZ,MicroSectors Solactive FANG & Innovation 3X Leveraged ETN,Equity
SOXS,Direxion Daily Semiconductor Bear 3x Shares,Equity
UDOW,ProShares UltraPro Dow30,Equity
BOIL,ProShares Ultra Bloomberg Natural Gas,Commodity
UCO,ProShares Ultra Bloomberg Crude Oil,Commodity
YINN,Direxion Daily FTSE China Bull 3X Shares,Equity
ROM,ProShares Ultra Technology,Equity
UYG,ProShares Ultra Financials,Equity
NUGT,Direxion Daily Gold Miners Index Bull 2x Shares,Equity
GUSH,Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X Shares,Equity
URTY,ProShares UltraPro Russell2000,Equity
AGQ,ProShares Ultra Silver,Commodity
DDM,ProShares Ultra Dow30,Equity
ERX,Direxion Daily Energy Bull 2X Shares,Equity
USD,ProShares Ultra Semiconductors,Equity
XDEC,FT Cboe Vest U.S. Equity Enhance & Moderate Buffer ETF – December,Equity
TBT,ProShares UltraShort 20+ Year Treasury,Bond
CWEB,Direxion Daily CSI China Internet Index Bull 2x Shares,Equity
UVXY,ProShares Ultra VIX Short-Term Futures ETF,Volatility
NAIL,Direxion Daily Homebuilders & Supplies Bull 3X Shares,Equity
JNUG,Direxion Daily Junior Gold Miners Index Bull 2x Shares,Equity
QID,ProShares UltraShort QQQ,Equity
UWM,ProShares Ultra Russell2000,Equity
SPUU,Direxion Daily S&P 500 Bull 2x Shares,Equity
FNGO,MicroSectors FANG+ Index 2X Leveraged ETNs,Equity
NVDL,GraniteShares 1.5x Long NVDA Daily ETF,Equity
GDXU,MicroSectors Gold Miners 3X Leveraged ETN,Equity
UGL,ProShares Ultra Gold,Commodity
WEBL,Direxion Daily Dow Jones Internet Bull 3X Shares,Equity
DFEN,Direxion Daily Aerospace & Defense Bull 3X Shares,Equity
CURE,Direxion Daily Healthcare Bull 3x Shares,Equity
SCO,ProShares UltraShort Bloomberg Crude Oil,Commodity
FBGX,UBS AG FI Enhanced Large Cap Growth ETN,Equity
MVV,ProShares Ultra MidCap400,Equity
XSEP,FT Cboe Vest U.S. Equity Enhance & Moderate Buffer ETF – September,Equity
FAZ,Direxion Daily Financial Bear 3X Shares,Equity
KOLD,ProShares UltraShort Bloomberg Natural Gas,Commodity
TECS,Direxion Daily Technology Bear 3X Shares,Equity
